,CO,IA,MA,MT,NE,NJ,WI,AZ,IL,MD,MO,TX
,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,testimony,testimony,testimony,testimony,testimony
target_ftm,,,,,,,,,,,,
GOVERNMENT AGENCIES/EDUCATION/OTHER_NONPROFIT INSTITUTIONS,-0.000805523590333717,-0.0019313304721030045,-0.0006843846241587772,-0.0005952380952380953,0.0,-0.0019470404984423676,0.0,-0.015873015873015872,-0.0011773832884589056,-0.000392156862745098,-0.038461538461538464,-0.001806684733514002
GOVERNMENT AGENCIES/EDUCATION/OTHER_TRIBAL GOVERNMENTS,-0.0030686612965093976,0.0,0.0,-0.023809523809523808,0.0,0.0,-0.005555555555555556,-0.007518796992481203,-0.007370054305663305,0.0,0.0,0.0
GOVERNMENT AGENCIES/EDUCATION/OTHER_WELFARE/SOCIAL WORK,-0.01380897583429229,-0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010226391141829466,0.0,0.0,0.0
HEALTH_HEALTH PROFESSIONALS,-0.0030686612965093976,-0.0027311744049941474,0.0,-0.004761904761904762,0.0,0.0,0.0,0.0,-0.0025660917825386406,-0.0011204481792717088,0.0,-0.0005420054200542005
HEALTH_HEALTH SERVICES,-0.00364403528960491,-0.002861230329041488,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035772778208775107,-0.001680672268907563,0.0,0.0
HEALTH_HOSPITALS & NURSING HOMES,-0.011123897199846567,-0.00536480686695279,0.0,0.0,0.0,-0.0010384215991692627,-0.000925925925925926,-0.015037593984962405,-0.0011935310616458792,0.0,0.0,-0.0016260162601626016
HEALTH_MISCELLANEOUS HEALTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015515903801396431,0.0,0.0,0.0
HEALTH_PHARMACEUTICALS & HEALTH PRODUCTS,-0.009205983889528193,-0.002145922746781116,0.0,0.0,0.0,-0.0010384215991692627,-0.040740740740740744,0.0,0.0,0.0,0.0,0.0
IDEOLOGY/SINGLE ISSUE_ANIMAL RIGHTS,0.0,0.0,0.0,-0.002380952380952381,-0.007462686567164179,0.0,0.0,0.0,-0.0005569811621014104,0.0,0.0,0.0
IDEOLOGY/SINGLE ISSUE_CHRISTIAN CONSERVATIVE,-0.00863060989643268,0.0,0.0,0.0,0.0,0.0,-0.018518518518518517,-0.007518796992481203,-0.0001551590380139643,0.0,0.0,0.0
IDEOLOGY/SINGLE ISSUE_CONSERVATIVE POLICY ORGANIZATION,-0.023878020713463753,-0.020028612303290415,0.0,-0.009523809523809525,-0.029850746268656716,-0.03115264797507788,-0.03888888888888889,-0.06766917293233082,-0.0031031807602792862,0.0,-0.009615384615384616,-0.014982578397212542
IDEOLOGY/SINGLE ISSUE_CONSUMER GROUPS,-0.0011507479861910242,0.0,-0.0012547051442910915,-0.005952380952380952,0.0,0.0,-0.07962962962962963,-0.05263157894736842,-0.005430566330488751,-0.0008403361344537816,-0.038461538461538464,0.0
IDEOLOGY/SINGLE ISSUE_ELDERLY/SOCIAL SECURITY,-0.04372842347525892,0.0,0.0,-0.011904761904761904,0.0,-0.006230529595015576,-0.011111111111111112,-0.05263157894736842,-0.011016291698991466,0.0,-0.019230769230769232,-0.008130081300813009
IDEOLOGY/SINGLE ISSUE_GAY/LESBIAN RIGHTS & ISSUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007757951900698216,0.0,0.0,0.0
