state_long,Seats,Senate,sen_dem_ct,sen_rep_ct,other,House,hou_dem_ct,hou_rep_ct,other,year,st
Nebraska,49,49,,,49,,,,,2016,NE
Nevada,63,21,10,11,,42,17,25,,2016,NV
New Hampshire,424,24,10,14,,400,160,239,1,2016,NH
New Jersey,120,40,24,16,,80,51,29,,2016,NJ
New Mexico,112,42,25,17,,70,33,37,,2016,NM
New York,213,63,31,32,,150,104,44,2v,2016,NY
North Carolina,170,50,16,34,,120,45,74,1,2016,NC
North Dakota,141,47,15,32,,94,23,71,,2016,ND
Ohio,132,33,10,23,,99,34,65,,2016,OH
Oklahoma,149,48,9,39,,101,30,71,,2016,OK
Oregon,90,30,18,12,,60,35,25,,2016,OR
Pennsylvania,253,50,19,30,1v,203,82,118,3v,2016,PA
Rhode Island,113,38,32,5,1,75,63,11,1,2016,RI
South Carolina,170,46,17,28,1v,124,46,78,,2016,SC
South Dakota,105,35,8,27,,70,12,58,,2016,SD
Tennessee,132,33,5,28,,99,26,73,,2016,TN
Texas,181,31,11,20,,150,51,99,,2016,TX
Utah,104,29,5,24,,75,12,63,,2016,UT
Vermont,180,30,21,9,,150,85,53,12,2016,VT
Virginia,140,40,19,21,,100,34,66,,2016,VA
Washington,147,49,24,25,,98,50,48,,2016,WA
West Virginia,134,34,16,18,,100,36,64,,2016,WV
Wisconsin,132,33,14,19,,99,36,63,,2016,WI
Wyoming,90,30,4,26,,60,9,51,,2016,WY
Alabama,140,35,8,26,1,105,32,72,1v,2017,AL
Alaska*,60,20,6,14,,40,17,21,2,2017,AK
Arizona,90,30,13,17,,60,25,35,,2017,AZ
Arkansas,135,35,9,26,,100,24,76,,2017,AR
California,120,40,27,13,,80,55,25,,2017,CA
Colorado,100,35,17,18,,65,37,28,,2017,CO
Connecticut*,187,36,18,18,,151,79,72,,2017,CT
Delaware,62,21,11,10,,41,25,16,,2017,DE
Florida,160,40,15,25,,120,41,79,,2017,FL
Georgia,236,56,18,38,,180,62,118,,2017,GA
Hawaii,76,25,25,0,,51,45,6,,2017,HI
Idaho,105,35,6,29,,70,11,59,,2017,ID
Illinois,177,59,37,22,,118,67,51,,2017,IL
Indiana,150,50,9,41,,100,30,70,,2017,IN
Iowa,150,50,20,29,1,100,41,59,,2017,IA
Kansas,165,40,9,31,,125,40,85,,2017,KS
Kentucky,138,38,11,27,,100,36,64,,2017,KY
